,number_of_rooms,area,storey_number,total_storey_number,price,district,complex_name,year,condition
3604,2,51.2,17,19,20300000,Есиль,Nova City,2016,
3605,3,93.0,9,16,35000000,Сарыарка,Мкр Самал,1998,хорошее
3606,1,35.4,4,5,12700000,Сарыарка,,2014,евроремонт
3607,4,130.0,8,12,72000000,Есиль,BI City,2018,евроремонт
3608,3,85.0,12,14,32500000,Есиль,Лазурный квартал,2011,среднее
3609,4,139.2,2,7,70000000,Есиль,Янтарный,2016,черновая
3610,2,77.0,2,9,35000000,Есиль,Авиценна,2007,евроремонт
3611,3,113.0,2,10,36000000,,Ак Шанырак,2013,
3612,3,98.0,2,12,25500000,Сарыарка,Медина,2016,
3613,2,60.12,11,11,14000000,Алматы,,2017,евроремонт
3614,2,65.0,6,19,31000000,Алматы,Millennium Park,2015,евроремонт
3615,3,76.0,1,10,23500000,Алматы,,2015,евроремонт
3616,1,52.0,4,9,16000000,Алматы,Ориенталь,2017,черновая
3617,3,60.0,3,5,22700000,Алматы,,2002,хорошее
3618,1,39.0,4,6,12000000,Алматы,Юго Восток,2012,
3619,2,63.5,4,8,22500000,Алматы,,2021,черновая
3620,3,136.0,25,28,73000000,,Grand Alatau,2010,хорошее
3621,1,37.45,5,9,18000000,Есиль,SClub,2021,черновая
3622,1,38.0,2,9,15300000,Есиль,Nova City,2017,хорошее
3623,2,72.0,5,8,33000000,Есиль,Венский квартал,2017,евроремонт
3624,2,69.5,6,12,21300000,Алматы,Салтанат,2006,евроремонт
3625,3,61.0,3,5,16500000,,,1967,хорошее
3626,2,47.0,2,9,16000000,Сарыарка,Старый город,2015,евроремонт
3627,2,54.0,8,9,21600000,Есиль,,2021,черновая
3628,5,106.0,6,6,24000000,Алматы,,1989,
3629,4,188.0,3,6,159000000,Есиль,Парковый,2011,евроремонт
3630,3,88.0,4,9,42600000,Алматы,,2003,евроремонт
3631,1,37.0,6,9,13500000,Есиль,College,2020,черновая
3632,2,75.5,17,18,28000000,Алматы,Жайна,2015,хорошее
3633,4,146.0,,,83000000,Есиль,Park Avenue,2015,евроремонт
3634,2,56.0,10,10,17000000,Есиль,Кашаган,2018,евроремонт
3635,2,100.0,2,9,20500000,Сарыарка,Мирный,2008,среднее
3636,2,42.8,4,5,16500000,Алматы,,1975,евроремонт
3637,1,56.0,9,12,22000000,Сарыарка,Победа,2008,хорошее
3638,1,41.0,3,8,18500000,Есиль,,2018,евроремонт
3639,3,78.0,9,11,36000000,Есиль,Коркем,2017,
3640,2,64.3,6,6,26000000,Есиль,,2007,хорошее
3641,2,50.0,20,20,17500000,Алматы,,2012,хорошее
3642,1,41.0,1,9,14500000,Алматы,,2005,среднее
3643,4,80.0,3,13,48000000,Алматы,Akbulak Life,2019,евроремонт
3644,4,170.0,6,8,123000000,Есиль,Янтарный,2016,евроремонт
3645,4,134.0,18,20,59000000,Алматы,Сказочный мир,2015,евроремонт
3646,1,31.0,1,5,10000000,,,1980,хорошее
3647,4,214.8,5,8,94000000,Есиль,Нурсая Бонита,2011,евроремонт
3648,3,81.0,7,15,43000000,Есиль,Arnau Premium,2016,евроремонт
3649,3,63.0,6,6,19900000,,,1990,хорошее
3650,2,52.0,3,3,15900000,Алматы,Есиль,2016,евроремонт
3651,1,26.0,1,2,7000000,Алматы,,2014,евроремонт
3652,1,37.6,5,5,11900000,Сарыарка,,2015,хорошее
3653,3,65.0,3,5,17500000,Сарыарка,,1973,
3654,1,13.0,2,5,5200000,Алматы,,1985,хорошее
3655,1,45.0,9,10,16000000,Есиль,Семейный,2020,евроремонт
3656,2,39.1,1,10,18000000,,,2015,хорошее
3657,3,100.0,2,16,35000000,Алматы,Астана Меруерт,2012,евроремонт
3658,1,50.0,3,10,17500000,Сарыарка,Коктем,2007,хорошее
3659,2,70.1,6,10,25000000,Алматы,Казанат,2020,евроремонт
3660,1,37.0,6,6,11000000,Сарыарка,,2011,евроремонт
3661,1,58.0,6,10,24000000,,Дипломат,2009,хорошее
3662,3,60.0,2,5,18300000,Алматы,,1977,хорошее
3663,1,28.0,12,17,9600000,Сарыарка,,2016,евроремонт
3664,2,62.0,17,19,25000000,Есиль,Светлый,2012,евроремонт
3665,3,66.5,3,3,29925000,Есиль,,1990,хорошее
3666,1,46.7,3,6,15900000,Алматы,,2019,евроремонт
3667,9,284.0,9,10,77000000,Есиль,Астана жулдызы,2003,
3668,2,82.0,19,22,30000000,Алматы,,2013,евроремонт
3669,2,77.0,4,9,27000000,Алматы,Аксиома,2016,хорошее
3670,2,50.0,2,9,21000000,Сарыарка,Максат,2007,хорошее
3671,3,75.0,3,5,24500000,Алматы,,1990,евроремонт
3672,1,40.0,2,10,14500000,Сарыарка,Акерке,2015,евроремонт
3673,5,270.0,5,6,73000000,Есиль,Ак Орда,2009,евроремонт
3674,4,135.0,3,10,53000000,Есиль,Версаль,2010,хорошее
3675,2,74.0,2,12,25000000,Алматы,Туркестан,2014,евроремонт
3676,3,60.5,2,4,23000000,Сарыарка,,1991,хорошее
3677,3,80.0,3,13,48000000,Алматы,Akbulak Life,2019,евроремонт
3678,3,64.0,2,8,23900000,Алматы,Отан,2018,евроремонт
3679,4,210.0,5,6,87000000,Есиль,,2016,черновая
3680,3,77.0,9,13,27000000,,Изобилие,2012,хорошее
3681,3,160.0,2,6,70000000,Есиль,Мадиленд,2016,черновая
3682,3,79.58,7,9,25624760,,Ару Кала,2022,
3683,2,73.0,3,9,24500000,Сарыарка,Медик,2009,среднее
3684,1,38.0,13,14,14800000,Есиль,Алтын Шар,2016,евроремонт
3685,3,90.0,14,16,27900000,,Гранитный,2016,хорошее
3686,3,120.0,7,8,34000000,Алматы,,2000,евроремонт
3687,1,45.6,6,12,15700000,Алматы,,2008,хорошее
3688,1,40.0,4,6,20000000,Алматы,Городской романс,2010,евроремонт
3689,2,56.0,22,26,18400000,Алматы,Орбита,2012,евроремонт
3690,1,37.7,4,10,16000000,Есиль,Copenhagen,2020,евроремонт
3691,3,92.0,8,8,25000000,Алматы,Меркурий,2020,
3692,2,45.0,2,5,16800000,Сарыарка,,1982,хорошее
3693,4,110.0,3,5,33500000,Алматы,,1990,
3694,3,86.0,9,10,31500000,Есиль,Айналайын,2020,черновая
3695,2,70.3,20,20,37000000,Сарыарка,Edel,2017,евроремонт
3696,2,54.0,3,9,16500000,,,1990,требует
3697,3,92.0,11,14,30000000,Алматы,Восток,2009,евроремонт
3698,3,94.0,9,10,30000000,Алматы,Сымбат,2005,
3699,3,58.8,5,5,14800000,Сарыарка,,1981,среднее
3700,3,122.0,8,19,47000000,Алматы,Сказочный мир,2015,евроремонт
3701,1,37.0,7,10,12500000,Сарыарка,,2011,
3702,2,74.1,3,10,37000000,Есиль,Зелёный квартал,2016,
3703,1,38.0,17,22,15600000,Есиль,Коркем,2016,хорошее
3704,1,37.8,2,9,16000000,Есиль,Сеным,2015,евроремонт
3705,1,14.0,2,5,7800000,,,1974,хорошее
3706,3,90.0,3,18,28000000,,,2009,хорошее
3707,3,126.0,9,17,46000000,,7 Континент,2007,евроремонт
3708,4,121.0,3,5,61000000,Есиль,Promenade Expo,2018,евроремонт
3709,2,42.0,13,13,16800000,Есиль,Зам Зам,2016,евроремонт
3710,1,13.0,4,5,5180000,Есиль,,1995,хорошее
3711,3,55.0,1,5,16500000,Сарыарка,,1977,хорошее
3712,1,44.0,4,,17200000,Алматы,7Я,2015,евроремонт
3713,1,38.5,8,9,15250000,Есиль,College,2020,
3714,1,42.0,12,12,23500000,Есиль,BI City,2020,евроремонт
3715,2,55.0,4,6,14500000,Есиль,Дания,2007,хорошее
3716,1,30.5,4,5,11500000,Сарыарка,,1972,хорошее
3717,1,37.8,6,8,14500000,Алматы,Алтын Отау,2020,евроремонт
3718,2,71.0,4,20,42000000,,Хайвил Астана,2015,евроремонт
3719,1,42.3,17,22,17000000,Есиль,Only Sun,2020,
3720,2,72.0,4,15,42000000,,Хайвил Астана,2016,евроремонт
3721,2,72.6,12,18,37500000,Есиль,Orda Tower,2019,евроремонт
3722,2,66.7,,,27000000,Есиль,,2016,евроремонт
3723,1,40.0,2,9,14000000,Алматы,,2016,среднее
3724,2,67.0,7,18,24300000,Сарыарка,Эмират,2016,
3725,1,38.0,12,22,18000000,Алматы,,2012,хорошее
3726,3,94.95,8,9,40000000,Есиль,SClub,2021,
3727,4,112.0,9,9,60000000,Есиль,Авиценна,2018,евроремонт
3728,4,180.0,14,17,67000000,Есиль,Триумф Астаны,2006,
3729,2,50.0,7,12,19500000,Есиль,,2017,евроремонт
3730,1,43.0,5,14,12300000,Сарыарка,По Тлендиева,2012,хорошее
3731,3,101.0,8,12,30000000,,Нурай,2008,евроремонт
3732,1,50.0,4,6,21000000,Есиль,Венский квартал,2018,черновая
3733,4,133.6,3,12,42500000,Есиль,Инфинити,2010,хорошее
3734,3,95.0,17,17,30000000,Есиль,Алатау,2009,хорошее
3735,1,44.0,3,9,14000000,Сарыарка,Эксклюзив,2017,евроремонт
3736,2,63.0,1,9,27000000,Есиль,Sensata Park,2020,
3737,3,120.0,9,18,29000000,Алматы,Гранд Астана,2011,среднее
3738,3,106.0,13,13,39000000,Есиль,Нурсая,2005,хорошее
3739,2,59.2,9,10,23500000,,,2009,хорошее
3740,1,45.7,1,10,13350000,Алматы,,2018,черновая
3741,1,45.0,6,16,16000000,,Кампус,2014,хорошее
3742,1,35.0,1,6,12900000,Сарыарка,,2011,хорошее
3743,2,60.0,3,8,27500000,Есиль,Expo Residence,2017,хорошее
3744,3,88.0,8,13,31600000,Есиль,Отандастар,2009,хорошее
3745,1,41.71,4,21,22200000,Есиль,Atlant,2021,
3746,3,76.0,1,10,23000000,Алматы,,2015,хорошее
3747,3,85.0,3,9,45000000,Алматы,England,2015,
3748,3,116.0,5,9,58900000,Алматы,Лондон,2015,евроремонт
3749,3,102.0,2,9,43000000,Алматы,Тарлан,2017,хорошее
3750,3,78.0,1,9,25600000,Есиль,,2014,хорошее
3751,3,163.0,10,13,60000000,Есиль,Нурсая,2010,евроремонт
3752,4,128.6,11,36,51000000,Есиль,Триумф Астаны,2005,евроремонт
3753,1,36.0,4,12,16000000,Есиль,,2018,евроремонт
3754,3,96.0,12,16,32000000,Сарыарка,Столичный,2006,евроремонт
3755,3,61.0,4,9,20300000,,,1986,евроремонт
3756,3,96.1,9,16,32000000,Сарыарка,Столичный,2007,евроремонт
3757,1,42.1,1,19,13000000,Алматы,Кыпшак,2013,хорошее
3758,2,70.0,13,14,25000000,Есиль,Жагалау,2016,евроремонт
3759,2,51.0,8,19,24000000,Есиль,Светлый,2010,евроремонт
3760,3,92.0,4,11,28000000,Алматы,,2004,хорошее
3761,1,45.5,16,18,14300000,Есиль,,2016,хорошее
3762,2,64.0,3,10,23500000,Сарыарка,ОМК центр,2008,евроремонт
3763,3,110.0,12,20,35000000,,Шапагат нуры,2010,хорошее
3764,2,69.0,4,9,23500000,Сарыарка,,2001,хорошее
3765,1,35.5,5,5,10000000,Сарыарка,,1980,среднее
3766,2,75.0,4,5,19500000,,,2014,хорошее
3767,1,39.0,21,22,13500000,Есиль,Sezim Qala,2021,черновая
3768,2,46.0,5,5,12999990,Сарыарка,,1981,хорошее
3769,4,136.0,8,9,47000000,Есиль,Тулпар,2007,евроремонт
3770,3,93.0,3,9,42000000,Есиль,Арман кала,2013,хорошее
3771,2,62.8,8,15,25000000,Алматы,Сенатор,2017,хорошее
3772,1,43.0,10,14,20500000,Есиль,Лазурный квартал,2017,
3773,3,84.5,,,25300000,Алматы,Жас канат,2010,хорошее
3774,3,64.1,5,5,21500000,,,1984,хорошее
3775,1,45.0,9,10,15000000,Есиль,Казанат,2019,евроремонт
3776,2,67.8,4,12,22500000,Сарыарка,Целиноград −,2016,хорошее
3777,2,85.1,6,12,52000000,Есиль,Ботанический,2020,евроремонт
3778,2,64.0,3,10,23500000,Сарыарка,ОМК центр,2008,евроремонт
3779,2,55.0,10,16,22000000,Есиль,Светлый,2010,евроремонт
3780,1,17.0,2,5,5200000,Алматы,,1985,среднее
3781,2,77.12,9,13,25000000,Алматы,,2021,хорошее
3782,1,64.1,7,8,24500000,Есиль,Кристалл,2018,евроремонт
3783,3,120.2,7,7,35000000,Алматы,,2001,евроремонт
3784,3,69.0,1,9,28000000,Сарыарка,,1996,хорошее
3785,1,43.0,6,9,25000000,Есиль,,2016,евроремонт
3786,2,50.0,3,9,18000000,Сарыарка,,2014,хорошее
3787,3,103.0,10,10,28000000,Алматы,Эльбрус,2020,черновая
3788,3,78.2,14,16,30000000,Алматы,Независимость,2009,
3789,4,104.1,15,18,33000000,Сарыарка,,2019,хорошее
3790,2,74.6,11,12,27000000,Алматы,12 месяцев,2018,евроремонт
3791,3,99.7,12,12,33000000,Алматы,Туркестан,2014,
3792,1,44.0,3,,21000000,Есиль,Triumph Art,2021,черновая
3793,3,71.0,4,18,25000000,Алматы,Томирис,2020,черновая
3794,3,123.0,7,9,67000000,Алматы,Лондон,2015,хорошее
3795,2,67.5,6,9,28000000,,,2006,хорошее
3796,1,44.0,4,8,18500000,Есиль,Adal,2020,
3797,4,112.0,,,32500000,Алматы,,2000,евроремонт
3798,4,145.0,3,5,42000000,Алматы,Аккорд Плюс,2006,евроремонт
3799,2,63.0,11,16,16800000,Алматы,Мунар,2014,хорошее
3800,3,95.0,,,28500000,Алматы,,2000,хорошее
3801,3,92.0,8,16,30300000,Алматы,,2010,хорошее
3802,3,80.0,2,9,28500000,Алматы,,2014,хорошее
3803,3,100.0,3,14,64000000,Есиль,Премьера,2016,евроремонт
3804,2,75.0,15,18,27500000,Алматы,Сенатор,2016,евроремонт
3805,2,37.5,2,5,12000000,Алматы,,1983,хорошее
3806,2,74.2,1,9,31500000,Алматы,,2015,евроремонт
3807,3,95.0,9,9,40500000,Есиль,SClub,2020,
3808,2,45.0,2,9,20000001,Есиль,Absolute,2019,
3809,2,63.6,9,9,28500000,Алматы,Akbulak Town,2015,хорошее
3810,3,100.53,12,19,34999999,Есиль,Alau,2021,
3811,2,62.0,8,9,20500000,Алматы,Жастар,2006,хорошее
3812,1,50.0,5,17,16800000,,Фаворит,2013,хорошее
3813,1,32.3,4,4,9200000,,,2014,свободная
3814,2,58.0,6,18,21000000,Есиль,Alau,2017,черновая
3815,1,23.0,3,5,9500000,Алматы,Солнечный город,2011,хорошее
3816,1,56.9,9,14,18700000,,Абай,2011,хорошее
3817,2,88.7,8,12,41000000,Есиль,Каратау,2016,евроремонт
3818,2,58.9,5,5,22000000,Есиль,,2020,хорошее
3819,2,58.9,5,5,22000000,Есиль,,2020,хорошее
3820,3,62.0,2,5,22000000,Алматы,,1997,
3821,1,33.5,4,5,12000000,Есиль,,2017,хорошее
3822,2,63.0,6,14,23000000,Есиль,,2021,
3823,1,37.0,2,6,12600000,Сарыарка,,2011,хорошее
3824,1,50.5,6,22,16990000,Алматы,Алтын Гасыр,2009,евроремонт
3825,2,65.0,10,18,36000000,Есиль,Коркем,2016,евроремонт
3826,2,70.2,6,9,20600000,Алматы,Новосел,2008,хорошее
3827,3,98.0,3,16,45000000,Есиль,Dream City,2020,черновая
3828,3,61.2,3,4,14000000,Сарыарка,,1989,среднее
3829,2,64.2,10,16,24000000,Алматы,Мереке,2007,
3830,2,62.0,9,14,24500000,Есиль,Номад,2008,евроремонт
3831,4,146.0,9,9,83000000,Есиль,Park Avenue,2015,евроремонт
3832,2,55.7,4,6,16500000,Сарыарка,,2011,требует
3833,2,78.0,10,12,28000000,Алматы,,2012,евроремонт
3834,2,32.3,4,4,9500000,,,2014,свободная
3835,3,67.0,4,12,20000000,Алматы,,2014,среднее
3836,1,53.0,4,9,15900000,Алматы,Аулие Ата,2018,евроремонт
3837,4,70.0,1,6,21000000,,,1989,хорошее
3838,2,59.0,5,9,25000000,Есиль,Времена года.,2018,черновая
3839,1,50.0,3,12,14800000,Сарыарка,По Тлендиева,2012,хорошее
3840,4,104.0,2,16,35500000,Алматы,Мереке,2007,евроремонт
3841,3,122.76,,,53044596,Есиль,Atlant,2021,
3842,2,62.0,8,12,19500000,Сарыарка,Сайран,2009,
3843,2,108.0,7,8,34000000,Есиль,Тулпар Элит,2016,евроремонт
3844,1,50.0,3,11,24500000,Есиль,Grand Opera,2020,черновая
3845,1,50.0,5,13,14000000,Алматы,,2000,требует
3846,3,60.0,5,5,22000000,Алматы,,1977,хорошее
3847,1,33.0,2,10,13400000,Есиль,Manhattan,2020,черновая
3848,2,48.0,5,9,20000000,Сарыарка,,2007,хорошее
3849,3,60.0,3,3,15300000,Алматы,,1995,требует
3850,3,108.0,4,5,33500000,Сарыарка,,2007,хорошее
3851,3,95.0,9,9,39000000,Есиль,Арман кала,2015,хорошее
3852,1,43.0,7,8,15999999,Есиль,Besterek,2021,
3853,2,48.0,2,9,19200000,Алматы,,1998,евроремонт
3854,1,33.3,5,14,15000000,Сарыарка,Табысты,2019,евроремонт
3855,2,68.0,4,9,22500000,,Целиноград −,2009,хорошее
3856,3,62.5,7,9,22800000,Сарыарка,,1987,евроремонт
3857,3,100.0,13,13,29000000,Есиль,,2013,хорошее
3858,1,51.0,5,6,19000000,Есиль,,2006,евроремонт
3859,2,47.0,8,10,18700000,Есиль,Copenhagen,2020,евроремонт
3860,2,80.0,14,21,27500000,Алматы,Сказочный мир,2013,евроремонт
3861,2,70.0,10,14,22300000,Алматы,Мирас,2006,евроремонт
3862,4,142.0,14,26,86000000,Алматы,Хайвил Астана,2015,евроремонт
3863,1,38.0,14,16,15000000,Алматы,,2012,хорошее
3864,2,50.0,3,10,16900000,Сарыарка,,2013,хорошее
3865,2,51.0,9,9,18000000,,,1990,хорошее
3866,2,60.0,8,14,21300000,Есиль,,2018,хорошее
3867,1,49.1,11,13,19100000,Есиль,Зам Зам,2018,евроремонт
3868,1,13.0,1,5,4000000,Сарыарка,,1975,хорошее
3869,4,126.0,3,12,58000000,Сарыарка,Болашак,2007,среднее
3870,1,19.0,5,5,4900000,Сарыарка,,1973,хорошее
3871,1,34.0,7,9,13000000,Есиль,College,2021,
3872,5,210.0,22,,200000000,Алматы,Хайвил Астана,2016,евроремонт
3873,2,57.0,10,22,21000000,Алматы,Гранд Астана,2012,
3874,2,62.0,4,5,16500000,Сарыарка,,2008,хорошее
3875,1,47.0,9,9,14500000,,Кулагер,2013,среднее
3876,2,58.0,7,10,16000000,Алматы,,2015,хорошее
3877,1,39.0,2,10,15500000,Есиль,Manhattan,2019,черновая
3878,3,84.0,7,9,34500000,Алматы,Айдидар,2016,евроремонт
3879,3,82.3,9,9,32000000,Есиль,Barys City,2020,
3880,5,219.0,2,14,80000000,Есиль,,2016,хорошее
3881,2,66.0,4,9,19000000,Есиль,Техникум,2021,черновая
3882,2,41.0,2,4,9500000,Есиль,,1965,хорошее
3883,2,100.0,10,40,30000000,Есиль,Северное сияние,2008,хорошее
3884,2,50.0,8,9,17500000,Сарыарка,,2011,среднее
3885,2,61.0,1,9,25000000,Есиль,,2018,евроремонт
3886,3,125.0,7,9,72000000,Алматы,Английский квартал,2014,евроремонт
3887,1,43.0,8,24,16500000,Есиль,Алтын Шар,2016,евроремонт
3888,3,83.0,4,12,24000000,Сарыарка,Шанырак на,2010,евроремонт
3889,3,120.0,11,18,47500000,Сарыарка,Монблан де,2018,евроремонт
3890,3,90.0,2,9,31500000,Есиль,Есиль (Бокейхана,2014,евроремонт
3891,3,101.0,3,12,32000000,Алматы,Туркестан,2012,хорошее
3892,4,157.0,14,15,77000000,Сарыарка,Алтын Орда,2006,
3893,4,80.0,6,19,35000000,Алматы,,2017,хорошее
3894,3,124.2,13,15,48000000,Сарыарка,Алтын Орда,2007,хорошее
3895,2,56.22,11,,18700000,,Bravo,2021,черновая
3896,1,43.0,3,5,15900000,Есиль,Apple City,2020,
3897,2,67.0,9,9,22000000,Алматы,Эльбрус,2021,евроремонт
3898,2,68.0,5,12,28750000,Есиль,Only Sun,2021,черновая
3899,1,41.71,10,21,22500000,Есиль,Atlant,2020,черновая
3900,1,37.0,3,9,12500000,Сарыарка,Махаббат,2008,хорошее
3901,3,80.0,8,10,26400000,Есиль,,2016,черновая
3902,2,61.0,8,9,20400000,Алматы,Жастар,2006,хорошее
3903,2,60.0,4,9,24500000,Есиль,Краун Плаза,2009,хорошее
3904,5,159.0,4,18,55000000,,7 Континент,2008,евроремонт
3905,3,80.0,3,9,26500000,Есиль,Экодом,2018,евроремонт
3906,2,55.0,2,9,21500000,Алматы,Баян Сулу,2015,хорошее
3907,4,160.0,2,7,120000000,Есиль,Жансая,2004,
3908,3,150.0,23,30,48700000,Алматы,Капитал,2010,евроремонт
3909,2,55.0,18,25,17000000,Алматы,Эгалите,2010,хорошее
3910,2,50.0,10,17,18000000,Алматы,Жайна,2016,евроремонт
3911,4,138.0,3,7,71000000,Есиль,Премьера,2016,евроремонт
3912,2,56.0,8,9,18500000,Алматы,,2005,среднее
3913,3,112.0,9,12,53000000,Есиль,BI City,2021,евроремонт
3914,2,55.0,8,16,14700000,Сарыарка,,2006,
3915,1,40.0,5,17,15000000,Сарыарка,,2020,
3916,3,63.0,6,6,18299999,Алматы,,2007,евроремонт
3917,2,50.0,5,9,18300000,Есиль,,2011,среднее
3918,1,39.0,10,10,14700000,Есиль,Варшава,2021,черновая
3919,1,49.0,9,16,16700000,,Бурлин,2011,хорошее
3920,2,54.0,1,,6500000,,,1975,хорошее
3921,1,34.0,2,9,9670000,Есиль,Femida,2020,черновая
3922,3,92.0,18,18,31000000,Сарыарка,Махаббат,2008,евроремонт
3923,2,45.0,15,18,17000000,Сарыарка,Торлет,2012,хорошее
3924,1,38.0,9,14,14700000,Есиль,Алтын Шар,2018,хорошее
3925,2,77.8,7,12,40300000,Есиль,Зелёный квартал,2017,евроремонт
3926,2,75.0,6,9,25000000,,Citylake,2018,черновая
3927,1,46.0,10,18,14500000,Алматы,Магистральный,2014,евроремонт
3928,1,39.0,12,12,13000000,Сарыарка,Сайран,2009,хорошее
3929,2,47.0,2,13,17200000,Алматы,,2017,евроремонт
3930,4,126.0,6,8,55000000,Есиль,,2017,евроремонт
3931,2,63.0,9,12,26500000,Есиль,Only Sun,2020,черновая
3932,1,44.7,6,19,15000000,Алматы,Кыпшак,2010,хорошее
3933,2,67.85,15,16,26799763,Есиль,Asyl Mura,2021,
3934,2,58.0,15,17,19000000,,,2013,евроремонт
3935,3,97.8,4,9,33000000,Есиль,Кулагер,2015,хорошее
3936,1,31.1,4,5,12000000,,,1971,хорошее
3937,3,59.3,2,5,15500000,Сарыарка,,1964,среднее
3938,3,75.1,1,12,34000000,Есиль,Акку,2014,евроремонт
3939,3,64.0,4,16,39000000,Есиль,Toronto,2020,евроремонт
3940,1,38.0,6,9,15000000,Есиль,Лазурный берег,2017,евроремонт
3941,2,48.0,12,16,16000000,Алматы,Турсын Астана,2012,хорошее
3942,4,120.0,5,9,42000000,,Театральный,2019,черновая
3943,2,73.0,12,22,31000000,,Only Sun,2021,черновая
3944,2,73.0,12,13,27500000,Алматы,Ай Су,2015,евроремонт
3945,1,33.0,9,10,15000000,Есиль,Manhattan,2021,черновая
3946,1,46.6,11,13,16000000,,,2010,хорошее
3947,3,90.4,5,5,32000000,Алматы,,2005,хорошее
3948,3,70.0,2,5,22000000,Сарыарка,,1995,хорошее
3949,3,106.21,5,10,32000000,Есиль,Бухар Жырау,2021,
3950,2,70.0,4,6,31000000,Есиль,Венский квартал,2018,черновая
3951,3,68.0,4,5,21300000,Алматы,,1991,евроремонт
3952,1,34.9,2,3,11500000,Есиль,,2020,евроремонт
3953,2,114.0,3,6,77000000,Сарыарка,Оркен де,2015,евроремонт
3954,1,45.0,13,24,16500000,Есиль,,2019,хорошее
3955,2,50.0,3,5,17000000,Сарыарка,,1989,среднее
3956,1,33.1,5,12,11000000,Сарыарка,,2011,
3957,1,36.0,4,7,14990000,Сарыарка,,2020,евроремонт
3958,2,48.0,2,6,17600000,,,1984,хорошее
3959,3,88.8,1,9,37990000,Есиль,Сауран,2006,евроремонт
3960,1,37.0,5,6,12000000,Алматы,,1997,хорошее
3961,1,46.5,10,10,15000000,Алматы,Ашык Аспан,2008,хорошее
3962,2,50.0,8,10,25000000,,Сказочный мир,2010,евроремонт
3963,2,56.0,23,23,20000000,,,2015,евроремонт
3964,3,77.0,2,9,39800000,Есиль,Queens,2016,хорошее
3965,1,46.0,4,7,12880000,Есиль,Family Park,2020,черновая
3966,3,60.0,4,5,16500000,Сарыарка,,1985,
3967,2,62.0,3,7,24800000,Есиль,,2015,евроремонт
3968,4,180.0,4,6,81700000,Есиль,Премьера,2015,требует
3969,4,161.0,3,21,70000000,,,2015,хорошее
3970,3,86.1,9,10,28000000,Алматы,Магистральный,2007,хорошее
3971,2,65.0,10,20,22800000,Есиль,Galamat Towers,2020,
3972,3,95.0,7,9,33500000,,,2004,
3973,3,80.0,2,6,27500000,Алматы,,2017,евроремонт
3974,4,142.0,16,25,89000000,Алматы,Highvill Ishim,2020,евроремонт
3975,2,76.6,2,20,23300000,Алматы,Гранд Астана,2011,хорошее
3976,4,71.0,1,6,22000000,Алматы,,1993,
3977,2,70.0,7,16,20300000,Есиль,,2016,хорошее
3978,3,105.0,11,14,30000000,Алматы,Жасыл ел,2010,хорошее
3979,2,53.0,8,10,20300000,Есиль,Уют,2008,среднее
3980,1,36.0,2,8,14500000,Алматы,Шеркала,2020,евроремонт
3981,1,53.0,3,6,21700000,Есиль,Венский квартал,2016,
3982,3,168.0,3,12,55000000,,Атамекен,2008,
3983,2,48.0,2,23,18000000,Есиль,Коркем Tower,2020,хорошее
3984,4,105.0,14,22,65000000,Есиль,Хайвил Астана,2018,евроремонт
3985,2,60.0,2,9,24200000,Сарыарка,Тулпар,2019,евроремонт
3986,2,55.0,5,9,30000000,Есиль,Алматау,2018,евроремонт
3987,3,76.0,11,25,28000000,,Эгалите,2011,хорошее
3988,4,72.0,3,5,25000000,Есиль,,1989,хорошее
3989,2,42.5,1,5,12300000,Алматы,,1970,
3990,2,58.3,3,9,22000000,Алматы,Сарайшик,2016,среднее
3991,1,36.0,3,12,14800000,Алматы,,2018,хорошее
3992,2,76.0,5,7,37400000,Есиль,Promenade Expo,2018,евроремонт
3993,2,61.0,9,10,23000000,Есиль,,2019,черновая
3994,3,64.0,9,10,20000000,Сарыарка,,2013,хорошее
3995,1,45.0,4,9,16000000,,,2005,хорошее
3996,4,102.1,17,18,33000000,Сарыарка,,2019,хорошее
3997,2,66.0,3,9,25000000,Алматы,,2010,хорошее
3998,2,74.5,4,9,33700000,Есиль,BI City,2018,черновая
3999,1,46.0,8,9,16200000,Есиль,,2018,евроремонт
4000,1,37.8,6,6,12200000,Сарыарка,,2010,хорошее
4001,3,63.5,2,10,23800000,Есиль,Уют,2008,
4002,2,56.0,4,9,20500000,Сарыарка,College,2020,
4003,3,90.0,8,9,30000000,,,2004,
4004,3,150.0,3,9,60000000,Алматы,,2015,евроремонт
4005,3,98.5,6,10,55000000,Есиль,,2016,
4006,2,87.0,10,12,20500000,Сарыарка,Шанырак на,2010,
4007,2,51.0,11,18,19500000,Есиль,Nova City,2018,
4008,1,33.5,3,9,11300000,Алматы,,1991,хорошее
4009,3,76.2,2,9,39000000,Есиль,Градокомплекс,2011,евроремонт
4010,3,71.0,18,20,25300000,Алматы,,2013,
4011,2,44.0,3,12,16300000,,Замечательный,2011,
4012,3,125.8,8,18,46000000,,,2007,евроремонт
4013,2,78.0,6,12,35000000,Есиль,Олимп палас,2015,хорошее
4014,4,122.0,3,9,45500000,Есиль,Венский квартал,2017,черновая
4015,3,176.0,17,19,41999999,Сарыарка,Эмират,2015,евроремонт
4016,1,45.0,3,14,13000000,Алматы,Сенатор Park,2021,черновая
4017,2,54.0,1,3,17000000,Алматы,,2016,евроремонт
4018,1,36.3,4,5,13000000,Сарыарка,,1982,среднее
